parameter_name,value,units,direction,reaction_definition,temperature_K,ionic_strength_M,pH_or_acid,solvent,experimental_technique,fitted_or_measured,original_source,doi,page_table_equation,transformation,uncertainty,confidence,compatibility,status_note
k1_DKE,1430,M^-3 s^-1,forward,IO3- + I- + 2 H+ -> HIO2 + HOI,298.15,UNKNOWN,acidic with AgI and AgNO3,water,low-iodide Dushman subsystem,derived,Furuichi and Liebhafsky 1975 adopted by DKE,10.1246/bcsj.48.745,DKE p.50,None reported,UNKNOWN,MEASURED_DERIVED,REQUIRES_REFORMULATION,Low-iodide limiting rate term is not a four-body elementary event and silver maintained the low iodide condition
k2_DKE,2.0e10,M^-2 s^-1,forward,HIO2 + I- + H+ -> 2 HOI,298.15,UNKNOWN,acidic,water,analogy to bromine chemistry,estimated,De Kepper and Epstein 1982,10.1021/ja00365a012,p.50,None,UNKNOWN,LITERATURE_ESTIMATE,REQUIRES_NEW_MEASUREMENT,DKE states no direct experimental measurement
k3_DKE,3.1e12,M^-2 s^-1,forward,HOI + I- + H+ -> I2 + H2O,293.15,UNKNOWN,acidic aqueous,water,temperature jump,derived,Eigen and Kustin 1962 as adopted by DKE,10.1021/ja00867a014,DKE p.51,Historical overall hydrolysis relaxation expression,UNKNOWN,MEASURED_DERIVED,REQUIRES_REFORMULATION,Later analyses invoke I2OH- and coupled speciation
k_minus3_DKE,2.2,s^-1,reverse,I2 + H2O -> HOI + I- + H+,293.15,UNKNOWN,acidic aqueous,water,temperature jump,derived,Eigen and Kustin 1962 as adopted by DKE,10.1021/ja00867a014,DKE p.51,Water absorbed into first-order constant,UNKNOWN,MEASURED_DERIVED,REQUIRES_REFORMULATION,Not transferable without the same concentration and activity convention
k4_DKE,7.3e3,M^-2 s^-1,forward,IO3- + HIO2 + H+ -> 2 IO2 radical + H2O,298.15,UNKNOWN,acidic,water,full-model optimization from analogy-based starting value,fitted,De Kepper and Epstein 1982,10.1021/ja00365a012,p.51,Optimized for improved agreement,UNKNOWN,GLOBAL_FIT,REQUIRES_NEW_CALCULATION,DKE explicitly reports no experimental data
k_minus4_DKE,1.7e7,M^-1 s^-1,reverse,2 IO2 radical -> IO3- + HIO2 + H+,298.15,UNKNOWN,acidic,water,bromine/FKN analogy,estimated,De Kepper and Epstein 1982,10.1021/ja00365a012,p.51,None,UNKNOWN,LITERATURE_ESTIMATE,REQUIRES_NEW_CALCULATION,Iodine radical recombination and solvent effects unresolved
k5_DKE,6.0e5,M^-1 s^-1,forward,2 HIO2 -> IO3- + HOI + H+,298.15,UNKNOWN,acidic,water,full-model optimization,fitted,De Kepper and Epstein 1982,10.1021/ja00365a012,p.51,Optimized from 4e6,UNKNOWN,GLOBAL_FIT,INCOMPATIBLE_WITH_MODERN_SUBSYSTEM_RATE,2013 direct isolation gives roughly 0.2-5 M^-1 s^-1 depending on sulfuric acid
k5_2013,0.2 to 5,M^-1 s^-1,forward,2 HIO2 -> IO3- + HOI + H+,298.15,UNKNOWN,0.60 to 0.08 M H2SO4,water,spectrophotometry with crotonic-acid HOI scavenger,measured,Schmitz and Furrow 2013,10.1002/kin.20791,abstract and kinetic analysis,None reported,range across acid concentrations,MEASURED_DIRECT,REQUIRES_CONDITION_MATCH,Demonstrates strong acid/speciation dependence and conflict with DKE k5
k6_DKE,1.0e4,M^-1 s^-1,forward,IO2 radical + Mn2+ + H2O -> HIO2 + MnOH2+,298.15,UNKNOWN,acidic,water,full-model selection informed by radical-cation analogies,fitted,De Kepper and Epstein 1982,10.1021/ja00365a012,p.51,Water absorbed into effective constant,UNKNOWN,GLOBAL_FIT,REQUIRES_REFORMULATION,Mn aqua/hydroxo coordination and ET/PCET topology unresolved
k7_DKE,3.2e4,M^-1 s^-1,forward,MnOH2+ + H2O2 -> Mn2+ + H2O + HO2 radical,298.15,2.23 to 4.90,1.00 to 3.70 M HClO4,water,stopped-flow spectrophotometry,derived,Davies Kirschenbaum and Kustin 1968,10.1021/ic50059a031,DKE p.51 / source article,Mapped from Mn(III)-peroxide mechanism,source kinetics condition-dependent,MEASURED_DERIVED,REQUIRES_CONDITION_CORRECTION,Acid and ionic strength exceed many BR recipes; MnOH2+ is an effective label
