parent_dke_reaction,microscopic_reaction,parameter_name,value,units,temperature_K,acid_identity,acid_concentration_or_pH,ionic_strength_M,solvent,catalyst_oxidation_state,coordination_state,concentration_range,experimental_method,pseudo_order_assumptions,buffer,scavenger,oxygen_condition,source,doi,directly_measured_or_fitted,compatibility,required_correction_or_reformulation
R1,Low-iodide iodate plus iodide oxidation term,k1_low_I,1200 +/- 150,M^-3 s^-1,298.15,acidic perchlorate-controlled medium,not fully recovered,0.2,water,NA,NA,low iodide regime,initial-rate kinetic analysis,first order IO3- and I-; second order H+,none,low iodide maintained experimentally,not reported,Schmitz 2000,10.1039/B003606O,MEASURED_DERIVED,CORRECTABLE,Use full two-term Dushman law with activities and MnSO4 ion-pair correction at reference conditions
R1,Higher-iodide Dushman contribution,k1_high_I,4.2e8 +/- 0.8e8,M^-4 s^-1,298.15,acidic perchlorate-controlled medium,not fully recovered,0.2,water,NA,NA,higher iodide regime,initial-rate kinetic analysis,additional iodide dependence,none,none,not reported,Schmitz 2000,10.1039/B003606O,MEASURED_DERIVED,CORRECTABLE,Retain only after reproducing the published concentration-domain switch and activity convention
R2,HIO2 plus iodide proton-assisted conversion,k2_DKE,2.0e10,M^-2 s^-1,298.15,acidic water,unknown,unknown,water,NA,NA,not reported,bromine analogy,assumed mass action,none,none,not reported,De Kepper and Epstein 1982,10.1021/ja00365a012,ESTIMATED,UNKNOWN,No iodine-specific direct constraint found; define protonation and solvent-assisted microscopic candidates
R3,I2 plus I- equilibrium to I3-,K_I3,768,M^-1,297.15,aqueous acid,not reported in abstract,controlled,water,NA,NA,spectrophotometric range,absorbance equilibrium measurement,equilibrium concentration convention,none,none,air not material,Morrison et al. 1971,10.1016/0003-2697(71)90026-1,DIRECTLY_MEASURED,CORRECTABLE,Correct for reference ionic strength and couple to iodine hydrolysis and starch binding
R3,I(+1) hydrolysis and disproportionation network,K_H2OI_dissociation,about 2,M,298.15,HClO4,0.05-0.5 M,controlled,water,NA,NA,acid series,kinetic and equilibrium analysis,coupled fast speciation,none,none,not reported,Schmitz 2004,10.1002/kin.20020,MEASURED_DERIVED,CORRECTABLE,Reconcile H2OI+ HOI I2OH- notation and use one activity convention
R4,Iodate plus iodous acid radical-forming effective step,k4_DKE,7.3e3,M^-2 s^-1,298.15,acidic water,unknown,unknown,water,NA,unresolved iodine radical states,integrated BR model,full-model optimization,assumed mass action,none,none,not reported,De Kepper and Epstein 1982,10.1021/ja00365a012,FITTED,INCOMPATIBLE,Replace with literature-constrained microscopic radical or ET sequence before assigning a Level 1 rate
R5,Two HIO2 disproportionation,k5_DKE,6.0e5,M^-1 s^-1,298.15,acidic water,unknown,unknown,water,NA,NA,integrated BR model,full-model optimization,second order HIO2,none,none,not reported,De Kepper and Epstein 1982,10.1021/ja00365a012,FITTED,INCOMPATIBLE,Historical-control use only
R5,Two HIO2 disproportionation,k5_acid_series,0.2 to 5,M^-1 s^-1,298.15,H2SO4,0.60 to 0.08 M,not reported,water,NA,NA,acid series,spectrophotometry,second order HIO2,none,crotonic acid HOI scavenger,not reported,Schmitz and Furrow 2013,10.1002/kin.20791,DIRECTLY_MEASURED,CORRECTABLE,Transcribe acid-dependent function and validate its activity/speciation convention at 0.015 M formal sulfate
R6,IO2 radical oxidation of Mn(II),k6_DKE,1.0e4,M^-1 s^-1,298.15,acidic water,unknown,unknown,water,Mn II to Mn III,bare or hydroxo effective labels,integrated BR model,analogy plus model selection,assumed bimolecular,none,none,not reported,De Kepper and Epstein 1982,10.1021/ja00365a012,FITTED,UNKNOWN,Define aqua hydroxo and sulfato complexes and determine ET versus PCET topology
R7,Mn(III)-peroxide reduction network,k7_DKE_mapping,3.2e4,M^-1 s^-1,298.15,HClO4,1.00 to 3.70 M,2.23 to 4.90,water,Mn III to Mn II,multiple Mn3+ and MnOH2+ channels,source acid series,stopped-flow spectrophotometry,effective pseudo-bimolecular mapping,none,none,not reported,Davies Kirschenbaum and Kustin 1968,10.1021/ic50059a031,MEASURED_DERIVED,INCOMPATIBLE,Replace the one-step mapping; resolve sulfate coordination and reproduce two-Mn(III)-per-peroxide stoichiometry
R8,HO2 plus HO2 recombination,k_HO2_self,8.3e5,M^-1 s^-1,298.15,aqueous acidic regime,HO2 pKa about 4.8,variable,water,NA,NA,evaluated datasets,evaluated kinetic compilation,second order radical,none,none,oxygen product,Bielski et al. 1985,10.1063/1.555739,MEASURED_DERIVED,APPROXIMATELY_COMPATIBLE,Add HO2/O2- acid-base equilibrium and cross terms if mixed-solution pH is not below 2
R9,Historical saturated I2 plus malonic-acid law,k9_DKE and C9_DKE,40 and 1.0e4,M^-1 s^-1 and M^-1,298.15,acidic NaClO4 medium,not fully reported,0.3,water,NA,NA,malonic-acid iodination subsystem,spectrophotometry plus subsystem fit,lumped saturation law,none,none,not reported,De Kepper and Epstein 1982,10.1021/ja00365a012,FITTED,INCOMPATIBLE,Keep only as historical control; separate enolization iodine speciation and capture
R9,Malonic keto to enol plus I2 capture,k_enol and K_enol,4.0e-3 and 7.4e-9,s^-1 and dimensionless,298.15,acidic water,0.02 to 0.16 M H+,not reported,water,NA,NA,I2 2e-5 M with malonic acid excess,spectrophotometric kinetics,first order I2 and malonic acid,none,none,not reported,Eberlin and Williams 1996,10.1039/P29960000883,DIRECTLY_MEASURED,CORRECTABLE,Add explicit keto/enol species; recover diffusion-limited capture coefficient under reference ionic medium
R9,I2 and I3- capture by enol and protonated enol,k1-k5,121;24.1;11.6;0.87;32,M^-1 s^-1 except k5 M^-2 s^-1,298.15,acidic NaClO4 medium,H+ 0.00209 to 0.095 M,1.0,water,NA,NA,I- 0.00123 to 0.0261 M,spectrophotometric kinetics,coupled equilibrium and pseudo-order analysis,none,none,not reported,Leopold and Haim 1977,10.1002/kin.550090108,FITTED_TO_SUBSYSTEM,CORRECTABLE,Transcribe exact equation mapping then correct activities and add starch/polyiodide competition
R10,HOI plus H2O2,k_HOI_H2O2,29 +/- 5.2,M^-1 s^-1,296.35 maximum,buffered aqueous,pH 4 to 12,not reported,water,NA,NA,species-specific global dataset,stopped-flow and batch ABTS,global speciation regression,multiple buffers,100 micromolar Ag+ below pH 7,not reported,Shin et al. 2020,10.1016/j.watres.2020.115852,MEASURED_DERIVED,INCOMPATIBLE,Acquire acidic unbuffered data with iodine feedback active before replacing k10_DKE
R10,HOI plus HO2-,k_HOI_HO2minus,3.1e8 +/- 0.3e8,M^-1 s^-1,296.35 maximum,buffered aqueous,pH 4 to 12,not reported,water,NA,NA,species-specific global dataset,stopped-flow and global regression,species-resolved second order,multiple buffers,100 micromolar Ag+ below pH 7,not reported,Shin et al. 2020,10.1016/j.watres.2020.115852,MEASURED_DERIVED,INCOMPATIBLE,Include only with explicit peroxide acid-base speciation and matching pH
