Time (s),Negative log iodide concentration (M),archival_data_row
0,5.484521705,1
18.75135264,5.459632917,2
39.47329453,5.434857074,3
60.22940848,5.441040474,4
79.28375346,5.47206316,5
89.6925653,5.503262725,6
103.5185839,5.497008614,7
115.6428335,5.515792303,8
127.7465799,5.515792303,9
146.8214282,5.566196533,10
167.5843765,5.578869396,11
179.7291294,5.617061365,12
193.6029889,5.65551479,13
207.4563452,5.674840107,14
224.7815835,5.707195827,15
242.1273251,5.759349134,16
250.8138647,5.798776636,17
259.527742,5.86508986,18
263.0064585,5.885131311,19
268.2484537,5.938910622,20
276.962331,6.00682638,21
287.4189837,6.089351269,22
296.1396954,6.165994689,23
306.5621761,6.215269279,24
316.9778223,6.257817931,25
322.2403208,6.336581752,26
336.1893588,6.460262057,27
344.9374082,6.571394959,28
355.3735577,6.638990256,29
364.0874349,6.714911933,30
377.9954665,6.799428953,31
384.9597339,6.853765534,32
395.389049,6.916396386,33
409.2970806,7.003449383,34
414.5527446,7.083538915,35
426.7248351,7.164544329,36
445.8201866,7.254720633,37
454.5545671,7.362757048,38
466.7403265,7.463910413,39
482.7260198,10.069,40
494.4128669,9.59632031,41
504.4731237,9.145546409,42
518.0531034,9.065905271,43
526.5892859,8.902457578,44
538.638357,8.821842114,45
547.2565525,8.781808549,46
555.8405759,8.692396012,47
566.1810436,8.643116341,48
574.7787359,8.574593806,49
586.8688134,8.555115908,50
595.4596713,8.477645767,51
611.0011277,8.448775669,52
623.0980397,8.439174167,53
636.9172239,8.420003886,54
650.7159048,8.372268484,55
664.535089,8.353250184,56
681.8056521,8.324803707,57
702.5344284,8.296454103,58
714.5971683,8.240044194,59
719.716144,8.146878716,60
725.9833012,5.484521705,61
741.5110888,5.453428388,62
758.7748175,5.428680701,63
772.6350081,5.453428388,64
786.4883644,5.47206316,65
800.3553895,5.503262725,66
815.9378524,5.522067786,67
834.9580253,5.522067786,68
843.6377305,5.553552458,69
857.477418,5.559870901,70
874.7889875,5.578869396,71
890.3851192,5.610677928,72
905.9812509,5.642667821,73
923.3064893,5.674840107,74
935.4512422,5.713689075,75
949.3251017,5.752803996,76
963.21263,5.805374078,77
971.9196729,5.86508986,78
980.6198813,5.918686029,79
989.3474274,6,80
999.8040801,6.082431104,81
1010.253898,6.158987425,82
1017.218166,6.208206016,83
1024.216605,6.293497562,84
1034.639086,6.343791071,85
1052.032668,6.452920376,86
1060.794387,6.578871432,87
1071.223702,6.638990256,88
1086.874509,6.73785729,89
1093.872948,6.830425459,90
1107.767311,6.90068522,91
1121.675343,6.987540469,92
1132.159333,7.115830591,93
1144.345092,7.213591553,94
1163.413106,7.27123785,96
1168.66877,7.354389738,95
1186.055518,7.472402328,97
1196.853892,10.0690952,98
1210.269845,9.597453854,99
1220.323268,9.145546409,100
1232.160472,9.045311318,101
1240.730827,8.932877941,102
1252.773063,8.841927282,103
1268.273513,8.751902643,104
1278.586643,8.662794595,105
1297.552141,8.584349379,106
1311.343987,8.52598199,107
1328.594047,8.468011457,108
1347.580048,8.420003886,109
1368.315659,8.400877151,110
1385.565719,8.343757241,111
1406.28766,8.305893227,112
1423.551389,8.268201041,113
1437.322732,8.184017832,114
