IO3_minus_M,I_minus_M,classification,bdf_classification,radau_classification,solver_agreement_status,tolerance_convergence_status,complete_cycle_count,cycle_periods_s,cycle_iodide_amplitudes_M,cycle_iodine_amplitudes_M,final_cycle_period_mean_s,period_cv,period_drift,iodide_min_M,iodide_max_M,iodide_amplitude_M,iodide_relative_amplitude,iodine_peak_M,iodine_amplitude_M,iodide_amplitude_drift,iodine_amplitude_drift,iodide_resolution_floor_M,iodide_resolution_score,reason
0.004,0.0,STEADY_STATE,STEADY_STATE,STEADY_STATE,AGREE,AGREE,0,[],[],[],,,,,,,0.0,,,,,2e-12,0.0,post-transient signal is within the numerical floor
0.004,1e-08,UNRESOLVED_NUMERICALLY,UNRESOLVED_NUMERICALLY,UNRESOLVED_NUMERICALLY,AGREE,AGREE,3,"[142.64387233771697, 342.5003471657345, 4695.289833852983]","[1.8685372809144566e-13, 5.3819217614808125e-14, 5.120762729654821e-16]","[1.2988569750049193e-13, 2.2410110112162384e-15, 7.086693294987285e-18]",1726.8113511188114,1.2164712843608882,2.6364466266483477,2.0546390977985378e-09,2.054639609874808e-09,5.120762729654821e-16,2.4922924220110936e-07,2.12229815989209e-09,7.086693294987285e-18,-2.3178261687560626,-2.9487977077860963,2.0000410952012796e-12,0.0002560328756214621,final-cycle amplitude does not exceed the combined absolute/relative solver error floor
0.004,1e-06,UNRESOLVED_NUMERICALLY,UNRESOLVED_NUMERICALLY,UNRESOLVED_NUMERICALLY,AGREE,AGREE,6,"[100.859489875588, 102.96770199768434, 99.06677355660304, 81.1405189521771, 190.80875150033376, 1545.5717638395715]","[5.791584643823107e-11, 9.13904316887319e-12, 1.2844794051594505e-12, 6.947675714195129e-14, 4.267200962747619e-14, 8.897762201761013e-15]","[3.426408740828935e-11, 5.02385568892312e-12, 6.735426541899516e-13, 3.367717656570376e-14, 3.095061210821642e-14, 1.099389208531978e-19]",605.8403447640275,1.0992946746895556,2.417190036193091,2.054630688333579e-09,2.0546395860957843e-09,8.897762201761013e-15,4.330570802769605e-06,2.122298165338696e-09,1.099389208531978e-19,-1.5013812156796986,-1.5632753354025137,2.0000414561617214e-12,0.004448788886024745,final-cycle amplitude does not exceed the combined absolute/relative solver error floor
0.004,0.0004,UNRESOLVED_NUMERICALLY,UNRESOLVED_NUMERICALLY,UNRESOLVED_NUMERICALLY,AGREE,AGREE,6,"[100.90424314025393, 101.2473308717149, 97.90780473683594, 125.23879256215946, 307.9003738682718, 4063.456515531389]","[5.77075427826695e-11, 9.271368172546695e-12, 1.3636468341225516e-12, 2.513499018482895e-13, 6.782744085500524e-14, 1.1362749626258187e-15]","[3.41704305794592e-11, 5.113370834354042e-12, 7.375032256790679e-13, 1.4971305317202593e-13, 1.1764290787116793e-14, 4.669797938304936e-17]",1498.865227320607,1.2108977176334483,2.627466199885926,2.054638586420706e-09,2.0546397226956644e-09,1.1362749626258187e-15,5.53028810878355e-07,2.122298159981723e-09,4.669797938304936e-17,-2.3434560357652092,-2.7797661585809785,2.003153834197336e-12,0.0005672429861489515,final-cycle amplitude does not exceed the combined absolute/relative solver error floor
0.01,0.0,STEADY_STATE,STEADY_STATE,STEADY_STATE,AGREE,NOT_TESTED_NON_BOUNDARY,0,[],[],[],,,,,,,0.0,,,,,2e-12,0.0,post-transient signal is within the numerical floor
0.01,1e-08,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,11,"[449.9568716449145, 449.96009040182776, 449.95776186061335, 449.9574137801592, 449.9591364439789, 449.9605522793654, 449.95747019364035, 449.9600665674534, 449.9599756217658, 449.9599687353948, 449.9599519305257]","[6.405917352685975e-06, 6.405917512747718e-06, 6.4059174049632755e-06, 6.405917459700419e-06, 6.405917520907791e-06, 6.405917607322973e-06, 6.40591749810214e-06, 6.405917614515276e-06, 6.4059174176525795e-06, 6.405917414981239e-06, 6.405917412314112e-06]","[4.357787600234796e-05, 4.3577877413168264e-05, 4.3577876428424924e-05, 4.357787636131108e-05, 4.3577877357823545e-05, 4.357787874629615e-05, 4.357787703641923e-05, 4.3577878651518046e-05, 4.357787743057077e-05, 4.3577877397988444e-05, 4.357787736242262e-05]",449.95996542922876,2.21140474098175e-08,-5.265188450260178e-08,8.925098668454571e-11,6.406006663300799e-06,6.405917412314112e-06,0.9999860676094522,4.359817995443317e-05,4.357787736242262e-05,-8.333650211024544e-10,-1.5638244687091277e-09,2.1281180465636523e-12,3010132.5547508863,resolved amplitudes and converged final-cycle period/amplitudes
0.01,1e-06,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,11,"[449.9602507294301, 449.9603543410833, 449.95985322859565, 449.9603719679401, 449.95864492798637, 449.9600540535239, 449.96048560781037, 449.9575350954574, 449.9594569476394, 449.9574492362608, 449.9577935891375]","[6.405917504113361e-06, 6.405917494746062e-06, 6.4059174879446556e-06, 6.405917405323484e-06, 6.405917393881043e-06, 6.405917621575388e-06, 6.4059176287570915e-06, 6.405917636143581e-06, 6.405917541509051e-06, 6.4059174507419555e-06, 6.405917626849305e-06]","[4.357787731381204e-05, 4.357787716200101e-05, 4.3577877424660644e-05, 4.3577876970834906e-05, 4.3577876520555234e-05, 4.3577878964753534e-05, 4.357787890678674e-05, 4.357787826221471e-05, 4.3577878762416045e-05, 4.357787691739017e-05, 4.357787819441352e-05]",449.95823325767924,1.948236785830959e-06,-3.6966953351606765e-06,8.925136064536864e-11,6.4060068782099514e-06,6.405917626849305e-06,0.9999860675515431,4.359818122419577e-05,4.357787819441352e-05,1.332209689798756e-08,-1.3034194267378364e-08,2.1281201006655283e-12,3010129.667371042,resolved amplitudes and converged final-cycle period/amplitudes
0.01,0.0004,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,12,"[449.96038550629316, 449.9598548188444, 449.9599872410563, 449.95779187500193, 449.95745364121285, 449.9570313956906, 449.9600369441023, 449.95778136126046, 449.96014255351565, 449.9597023078877, 449.9601474499523, 449.96020166315975]","[6.405917864961566e-06, 6.405917386851234e-06, 6.4059174873022395e-06, 6.405917482839254e-06, 6.405917405165711e-06, 6.40591763879674e-06, 6.405917511244983e-06, 6.405917640842448e-06, 6.405917665836486e-06, 6.405917458650719e-06, 6.40591742099157e-06, 6.405917418226346e-06]","[4.357788069518396e-05, 4.35778768494929e-05, 4.357787763000195e-05, 4.3577876717590005e-05, 4.357787653776535e-05, 4.357787843316307e-05, 4.357787770179955e-05, 4.357787830753992e-05, 4.3577878810630366e-05, 4.357787741180353e-05, 4.3577877564038574e-05, 4.3577877542333125e-05]",449.96001714033326,4.971944735514016e-07,1.1097769868849564e-06,8.925093172431956e-11,6.40600666915807e-06,6.405917418226346e-06,0.9999860676123496,4.359817996809642e-05,4.3577877542333125e-05,-6.310473619777045e-09,2.9953178236452602e-09,2.128110049058227e-12,3010143.8697031755,resolved amplitudes and converged final-cycle period/amplitudes
0.015,0.0,STEADY_STATE,STEADY_STATE,STEADY_STATE,AGREE,NOT_TESTED_NON_BOUNDARY,0,[],[],[],,,,,,,0.0,,,,,2e-12,0.0,post-transient signal is within the numerical floor
0.015,1e-08,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,RESOLVED_LIMIT_CYCLE,AGREE,NOT_TESTED_NON_BOUNDARY,10,"[461.38273519468055, 461.3820236092379, 461.3831342978501, 461.3827121225613, 461.3823550230368, 461.38299663578937, 461.38301822787844, 461.3827890079956, 461.38195669810375, 461.3839836126126]","[8.415363227875054e-06, 8.415363231284733e-06, 8.41536328141e-06, 8.415363230703489e-06, 8.415363218885637e-06, 8.415363409007802e-06, 8.415363214461547e-06, 8.41536322643455e-06, 8.415363216035707e-06, 8.41536342416333e-06]","[0.00010820832736342099, 0.00010820832704125689, 0.00010820832823221316, 0.00010820832710556572, 0.000108208327061042, 0.0001082083311885499, 0.0001082083270559533, 0.00010820832721234235, 0.0001082083269748015, 0.00010820833199864626]",461.382909772904,1.8030119264352498e-06,2.5891826327081918e-06,9.057930423035506e-11,8.41545400346756e-06,8.41536342416333e-06,0.9999892365292908,0.00010826252950113002,0.00010820833199864626,2.3496166973756055e-08,4.4232305999399924e-08,2.1683090785573556e-12,3881071.7988759764,resolved amplitudes and converged final-cycle period/amplitudes
