parameter,reaction,confidence,role,fractional_perturbation,observable,normalized_sensitivity,minus_value,plus_value,status,perturbation_induced_absolute_difference,empirical_numerical_floor,difference_to_floor_ratio,resolution_status
k1_DKE,R1,MEASURED_DERIVED,forward,0.005,mean_period_s,-0.12499632075411211,527.2000143142193,526.5414398878036,OK,0.6585744264157256,0.00029656925937615597,2220.6429209860135,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.005,iodine_peak_M,0.00018170037596369244,0.00026015981438758237,0.00026016028710331216,OK,4.727157297871286e-10,5.347989304009537e-12,88.39130052723186,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.005,iodide_min_M,0.1314916895779725,9.316112191853868e-11,9.328370264736582e-11,OK,1.2258072882714304e-13,5.97183587233158e-17,2052.6473173028435,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.005,iodide_max_M,-0.9738386579949758,8.412506783858565e-06,8.330979477819505e-06,OK,8.15273060390598e-08,1.4818695722547057e-13,550165.1937897189,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.01,mean_period_s,-0.12499894633099162,527.532853461222,526.2156357303871,OK,1.317217730834841,0.00029656925937615597,4441.518091273706,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.01,iodine_peak_M,0.0001818871686736416,0.0002601595777651877,0.00026016052419223774,OK,9.464270500658158e-10,5.347989304009537e-12,176.96876270045135,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.01,iodide_min_M,0.13149068764625324,9.309957644006882e-11,9.33447413867397e-11,OK,2.4516494667088376e-13,5.97183587233158e-17,4105.353059128267,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.01,iodide_max_M,-0.9738375595715615,8.453873293319983e-06,8.290807026436672e-06,OK,1.6306626688331094e-07,1.4818695722547057e-13,1100409.0369114003,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.02,mean_period_s,-0.12500746879920366,528.2057696442973,525.570824876482,OK,2.634944767815341,0.00029656925937615597,8884.753508701615,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.02,iodine_peak_M,0.00018182927575908814,0.0002601591043281685,0.00026016099676906405,OK,1.892440895559077e-09,5.347989304009537e-12,353.86026186332515,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.02,iodide_min_M,0.13148701679748115,9.297596042417347e-11,9.346631946559185e-11,OK,4.903590414183778e-13,5.97183587233158e-17,8211.19421064945,RESOLVED
k1_DKE,R1,MEASURED_DERIVED,forward,0.02,iodide_max_M,-0.9738333442397602,8.537842055508046e-06,8.211616190027435e-06,OK,3.2622586548061037e-07,1.4818695722547057e-13,2201447.8979027057,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.005,mean_period_s,-0.2926838270502575,527.6450759823124,526.1029891501055,OK,1.5420868322069055,0.00029656925937615597,5199.752784394243,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.005,iodine_peak_M,-0.9024418453121872,0.00026133971081081193,0.00025899186225462217,OK,2.347848556189761e-06,5.347989304009537e-12,439015.1929491544,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.005,iodide_min_M,-0.27531074965519575,9.335112629252839e-11,9.30944719287595e-11,OK,2.5665436376888356e-13,5.97183587233158e-17,4297.7464427313225,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.005,iodide_max_M,-0.2816102004063832,8.383351465045636e-06,8.359776106608944e-06,OK,2.357535843669191e-08,1.4818695722547057e-13,159091.99350669808,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.01,mean_period_s,-0.29269484247789934,528.4297134211354,525.3452743716132,OK,3.0844390495221887,0.00029656925937615597,10400.400419148014,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.01,iodine_peak_M,-0.9024437290241354,0.0002625310151747858,0.00025783497586793277,OK,4.696039306853017e-06,5.347989304009537e-12,878094.3715299253,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.01,iodide_min_M,-0.27530615174278356,9.34803522368456e-11,9.296703529509735e-11,OK,5.133169417482501e-13,5.97183587233158e-17,8595.630434629411,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.01,iodide_max_M,-0.28160425441110054,8.395198293247265e-06,8.34804715463476e-06,OK,4.71511386125045e-08,1.4818695722547057e-13,318186.8330069207,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.02,mean_period_s,-0.2927426057715937,530.0268683324174,523.8557888518599,OK,6.171079480557523,0.00029656925937615597,20808.223662623055,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.02,iodine_peak_M,-0.9024507079065833,0.0002649492638663859,0.00025555445243316245,OK,9.394811433223427e-06,5.347989304009537e-12,1756699.7424957217,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.02,iodide_min_M,-0.2753032999323076,9.374066640125243e-11,9.271390866689367e-11,OK,1.0267577343587637e-12,5.97183587233158e-17,17193.334785302584,RESOLVED
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.02,iodide_max_M,-0.2815803069608756,8.419011298549615e-06,8.32470570077947e-06,OK,9.430559777014519e-08,1.4818695722547057e-13,636396.0738235323,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.005,mean_period_s,0.3777221454418749,525.8745585665976,527.8646760069475,OK,1.9901174403499908,0.00029656925937615597,6710.464343257538,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.005,iodine_peak_M,0.9022621623673089,0.0002589862518040068,0.00026133357992336274,OK,2.3473281193559415e-06,5.347989304009537e-12,438917.87846248754,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.005,iodide_min_M,-0.8558476015782995,9.362314820419826e-11,9.282528918567181e-11,OK,7.978590185264529e-13,5.97183587233158e-17,13360.364142341126,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.005,iodide_max_M,0.2799507203261907,8.35978689759317e-06,8.383223166229251e-06,OK,2.343626863608142e-08,1.4818695722547057e-13,158153.38323211865,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.01,mean_period_s,0.3777133702633251,524.8797162799252,528.8599456196258,OK,3.9802293397005997,0.00029656925937615597,13420.91000285449,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.01,iodine_peak_M,0.9022604386571621,0.0002578121797814925,0.00026250684156183793,OK,4.694661780345441e-06,5.347989304009537e-12,877836.7931337712,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.01,iodide_min_M,-0.8558400364575746,9.402727523599568e-11,9.243147239076398e-11,OK,1.595802845231703e-12,5.97183587233158e-17,26722.148420476507,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.01,iodide_max_M,0.279957665264375,8.347950637058267e-06,8.394824760208667e-06,OK,4.6874123150399775e-08,1.4818695722547057e-13,316317.4683388599,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.02,mean_period_s,0.3776764265956649,522.8904756298261,530.8508508867409,OK,7.960375256914745,0.00029656925937615597,26841.538713957336,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.02,iodine_peak_M,0.9022533190550756,0.00025546320736872206,0.0002648525729635683,OK,9.389365594846227e-06,5.347989304009537e-12,1755681.4460729675,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.02,iodide_min_M,-0.8558185598074585,9.484617016967147e-11,9.165385264999939e-11,OK,3.192317519672075e-12,5.97183587233158e-17,53456.21661275999,RESOLVED
k3_DKE,R3,MEASURED_DERIVED,forward,0.02,iodide_max_M,0.27998536682555547,8.324037833577393e-06,8.417798741320422e-06,OK,9.376090774302876e-08,1.4818695722547057e-13,632720.3790301797,RESOLVED
k_minus3_DKE,R3,MEASURED_DERIVED,reverse,0.005,mean_period_s,-0.3740515983000184,527.8599415103636,525.8891447352398,OK,1.9707967751237447,0.00029656925937615597,6645.317115028665,RESOLVED
