parameter,reaction,confidence,role,fractional_perturbation,observable,normalized_sensitivity,minus_value,plus_value,status
k1_DKE,R1,MEASURED_DERIVED,forward,0.005,mean_period_s,-0.12499632075411211,527.2000143142193,526.5414398878036,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.005,iodine_peak_M,0.00018170037596369244,0.00026015981438758237,0.00026016028710331216,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.005,iodide_min_M,0.1314916895779725,9.316112191853868e-11,9.328370264736582e-11,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.005,iodide_max_M,-0.9738386579949758,8.412506783858565e-06,8.330979477819505e-06,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.01,mean_period_s,-0.12499894633099162,527.532853461222,526.2156357303871,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.01,iodine_peak_M,0.0001818871686736416,0.0002601595777651877,0.00026016052419223774,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.01,iodide_min_M,0.13149068764625324,9.309957644006882e-11,9.33447413867397e-11,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.01,iodide_max_M,-0.9738375595715615,8.453873293319983e-06,8.290807026436672e-06,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.02,mean_period_s,-0.12500746879920366,528.2057696442973,525.570824876482,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.02,iodine_peak_M,0.00018182927575908814,0.0002601591043281685,0.00026016099676906405,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.02,iodide_min_M,0.13148701679748115,9.297596042417347e-11,9.346631946559185e-11,OK
k1_DKE,R1,MEASURED_DERIVED,forward,0.02,iodide_max_M,-0.9738333442397602,8.537842055508046e-06,8.211616190027435e-06,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.005,mean_period_s,-0.2926838270502575,527.6450759823124,526.1029891501055,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.005,iodine_peak_M,-0.9024418453121872,0.00026133971081081193,0.00025899186225462217,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.005,iodide_min_M,-0.27531074965519575,9.335112629252839e-11,9.30944719287595e-11,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.005,iodide_max_M,-0.2816102004063832,8.383351465045636e-06,8.359776106608944e-06,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.01,mean_period_s,-0.29269484247789934,528.4297134211354,525.3452743716132,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.01,iodine_peak_M,-0.9024437290241354,0.0002625310151747858,0.00025783497586793277,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.01,iodide_min_M,-0.27530615174278356,9.34803522368456e-11,9.296703529509735e-11,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.01,iodide_max_M,-0.28160425441110054,8.395198293247265e-06,8.34804715463476e-06,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.02,mean_period_s,-0.2927426057715937,530.0268683324174,523.8557888518599,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.02,iodine_peak_M,-0.9024507079065833,0.0002649492638663859,0.00025555445243316245,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.02,iodide_min_M,-0.2753032999323076,9.374066640125243e-11,9.271390866689367e-11,OK
k2_DKE,R2,LITERATURE_ESTIMATE,forward,0.02,iodide_max_M,-0.2815803069608756,8.419011298549615e-06,8.32470570077947e-06,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.005,mean_period_s,0.3777221454418749,525.8745585665976,527.8646760069475,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.005,iodine_peak_M,0.9022621623673089,0.0002589862518040068,0.00026133357992336274,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.005,iodide_min_M,-0.8558476015782995,9.362314820419826e-11,9.282528918567181e-11,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.005,iodide_max_M,0.2799507203261907,8.35978689759317e-06,8.383223166229251e-06,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.01,mean_period_s,0.3777133702633251,524.8797162799252,528.8599456196258,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.01,iodine_peak_M,0.9022604386571621,0.0002578121797814925,0.00026250684156183793,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.01,iodide_min_M,-0.8558400364575746,9.402727523599568e-11,9.243147239076398e-11,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.01,iodide_max_M,0.279957665264375,8.347950637058267e-06,8.394824760208667e-06,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.02,mean_period_s,0.3776764265956649,522.8904756298261,530.8508508867409,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.02,iodine_peak_M,0.9022533190550756,0.00025546320736872206,0.0002648525729635683,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.02,iodide_min_M,-0.8558185598074585,9.484617016967147e-11,9.165385264999939e-11,OK
k3_DKE,R3,MEASURED_DERIVED,forward,0.02,iodide_max_M,0.27998536682555547,8.324037833577393e-06,8.417798741320422e-06,OK
