complete_period_count,iodide_max_M,iodide_min_M,iodine_peak_M,k10_DKE,k1_DKE,k8_DKE,mean_period_s,sample_id,status
3,1.1467222572918445e-05,6.559199677472369e-11,0.0003633335372999004,25.65625,1139.0625,788750.0,631.16150283395,1,OSCILLATORY
4,1.1316511663367625e-05,8.504838280587856e-11,0.000275491077099936,34.73125,1067.8125,818750.0,560.4953410952871,2,OSCILLATORY
3,1.1476202720083472e-05,6.283072362153877e-11,0.00038027219837855606,24.41875,1150.9375,808750.0,645.0458757919697,3,OSCILLATORY
4,1.0667032289144614e-05,7.701264978183325e-11,0.0003090828879455597,30.60625,1174.6875,798750.0,582.1985890351046,4,OSCILLATORY
4,9.788040934916744e-06,8.052952847799848e-11,0.0002981150668088388,31.84375,1269.6875,821250.0,567.292891259338,5,OSCILLATORY
4,1.0086884841203334e-05,8.457197761123911e-11,0.0002815730139736328,33.90625,1210.3125,776250.0,556.5070149575624,6,OSCILLATORY
4,1.046484196956313e-05,6.728178385876989e-11,0.0003580444500090696,26.06875,1245.9375,783750.0,620.1756276792006,7,OSCILLATORY
4,9.557354304379025e-06,6.622048396251202e-11,0.0003688092373481565,25.243750000000002,1376.5625,766250.0,622.6445623421318,8,OSCILLATORY
4,1.045158255111032e-05,7.003748497757247e-11,0.000343106287410835,27.30625,1234.0625,806250.0,607.9599889365772,9,OSCILLATORY
3,9.499858491939133e-06,6.344654020662664e-11,0.0003863128778732814,24.00625,1400.3125,768750.0,636.6374927805509,10,OSCILLATORY
4,1.1308123052359893e-05,8.250534400183786e-11,0.0002847165707100147,33.49375,1079.6875,763750.0,567.535409114045,11,OSCILLATORY
4,1.0016602138897537e-05,6.950836594807875e-11,0.00034793792426891925,26.89375,1293.4375,758750.0,608.8553336186801,12,OSCILLATORY
4,1.0051988096902775e-05,8.804192789668209e-11,0.00026969480458042004,35.55625,1198.4375,781250.0,547.0816889330333,13,OSCILLATORY
4,1.0249422000191954e-05,8.525926641232861e-11,0.00027849796501817084,34.31875,1186.5625,793750.0,555.2964604202772,14,OSCILLATORY
4,9.962382410494205e-06,6.86376806142653e-11,0.00035291537660065537,26.48125,1305.3125,791250.0,612.5216169580813,15,OSCILLATORY
4,1.0633332261324224e-05,8.825865917816408e-11,0.000266889566742402,35.96875,1127.1875,803750.0,549.1351659146208,16,OSCILLATORY
4,8.881607299450903e-06,8.423295062115348e-11,0.0002879530529704157,33.08125,1388.4375,823750.0,552.5101818286348,17,OSCILLATORY
4,1.0404378637416746e-05,7.369380502743736e-11,0.0003251432799322155,28.95625,1222.1875,773750.0,593.1714214830554,18,OSCILLATORY
4,1.0898432590282178e-05,8.966163940140994e-11,0.0002614671825301461,36.79375,1091.5625,756250.0,546.9085823763492,19,OSCILLATORY
4,9.845232822666182e-06,8.134832228951024e-11,0.000294640903832992,32.25625,1257.8125,761250.0,564.9715510285192,20,OSCILLATORY
4,9.218799968478591e-06,8.293606015220948e-11,0.0002912562748079502,32.66875,1340.9375,813750.0,557.676080837682,21,OSCILLATORY
4,1.191636187571153e-05,7.420649153963926e-11,0.00031688892407169897,29.78125,1055.9375,828750.0,596.78983041644,22,OSCILLATORY
4,8.928045332082678e-06,7.610606858598818e-11,0.0003209709812093634,29.36875,1424.0625,826250.0,579.1451395828185,23,OSCILLATORY
4,8.514386658586134e-06,9.171801489118736e-11,0.0002641585097989458,36.38125,1412.1875,796250.0,531.0936256394489,24,OSCILLATORY
4,9.152655348337615e-06,8.035267300681138e-11,0.0003016818115760453,31.43125,1364.6875,816250.0,565.4204775628417,25,OSCILLATORY
4,1.0036794682817102e-05,7.131881671414585e-11,0.0003384207481484719,27.71875,1281.5625,753750.0,601.2867173326633,26,OSCILLATORY
4,1.1298799845561329e-05,7.733095881867657e-11,0.00030532755663413325,31.01875,1103.4375,801250.0,583.5550332247524,27,OSCILLATORY
4,9.452901280065167e-06,7.371204626125958e-11,0.00032944813308887774,28.54375,1352.8125,786250.0,589.8640373018801,28,OSCILLATORY
4,9.48762028971536e-06,7.729268919568244e-11,0.00031294218240295664,30.19375,1329.0625,771250.0,576.871451662857,29,OSCILLATORY
4,9.19930807049867e-06,8.819918447279249e-11,0.00027256606386896764,35.14375,1317.1875,811250.0,542.9325482152125,30,OSCILLATORY
3,1.1792032724312914e-05,6.35360567079683e-11,0.0003744397206912145,24.83125,1115.3125,751250.0,642.3095240033098,31,OSCILLATORY
4,1.0999850222147885e-05,7.138402812387085e-11,0.0003338631383370229,28.13125,1162.8125,778750.0,604.239672432513,32,OSCILLATORY
