IO3_minus_M,I_minus_M,complete_period_count,error,iodide_max_M,iodide_min_M,iodide_pI_max,iodide_pI_min,iodine_peak_M,mean_period_s,status
0.004,0.0,,ValueError: Fewer than two iodide minima; no complete period is measurable,,,,,,,NO_MEASURABLE_OSCILLATION
0.004,1e-08,3,,2.054639609874808e-09,2.0546390977985378e-09,8.68726445193851,8.687264343699614,2.12229815989209e-09,1726.8113511188114,OSCILLATORY
0.004,1e-06,6,,2.0546395860957843e-09,2.054630688333579e-09,8.687266229472923,8.687264348725847,2.122298165338696e-09,479.14695196217133,OSCILLATORY
0.004,0.0004,6,,2.0546397226956644e-09,2.054638586420706e-09,8.687264560029805,8.687264319852378,2.122298159981723e-09,1148.625871674664,OSCILLATORY
0.01,0.0,,ValueError: Fewer than two iodide minima; no complete period is measurable,,,,,,,NO_MEASURABLE_OSCILLATION
0.01,1e-08,11,,6.406006663300799e-06,8.925098668454571e-11,10.049386973991288,5.193412613934254,4.359817995443317e-05,449.9599907137849,OSCILLATORY
0.01,1e-06,11,,6.4060068782099514e-06,8.925136064536864e-11,10.049385154305169,5.193412599364513,4.359818122419577e-05,449.9580587171238,OSCILLATORY
0.01,0.0004,12,,6.40600666915807e-06,8.925093172431956e-11,10.049387241427326,5.193412613537161,4.359817996809642e-05,449.96004849362885,OSCILLATORY
0.015,0.0,,ValueError: Fewer than two iodide minima; no complete period is measurable,,,,,,,NO_MEASURABLE_OSCILLATION
0.015,1e-08,10,,8.41545400346756e-06,9.057930423035506e-11,10.042971019600047,5.074922449399143,0.00010826252950113002,461.3829368866476,OSCILLATORY
0.015,1e-06,11,,8.415453971221488e-06,9.057928366695589e-11,10.042971118194002,5.074922451063259,0.00010826252812214689,461.3833193682459,OSCILLATORY
0.015,0.0004,10,,8.415453957001091e-06,9.057930424744907e-11,10.042971019518088,5.074922451797128,0.00010826252814029342,461.3831540711583,OSCILLATORY
0.0225,0.0,,ValueError: Fewer than two iodide minima; no complete period is measurable,,,,,,,NO_MEASURABLE_OSCILLATION
0.0225,1e-08,10,,8.371543308794169e-06,9.322268549243353e-11,10.030478390378482,5.077194471671202,0.0002601600167631817,526.8686476862041,OSCILLATORY
0.0225,1e-06,10,,8.371543287132772e-06,9.322269365265801e-11,10.030478352362623,5.0771944727949405,0.00026016001525103584,526.8685695675437,OSCILLATORY
0.0225,0.0004,9,,8.371543238384979e-06,9.322284066636488e-11,10.03047766747369,5.077194475323853,0.00026016001046900034,526.8683540655674,OSCILLATORY
0.0255,0.0,,ValueError: Fewer than two iodide minima; no complete period is measurable,,,,,,,NO_MEASURABLE_OSCILLATION
0.0255,1e-08,9,,7.967789805164475e-06,9.432299002053615e-11,10.025382440643698,5.0986621313691565,0.00033689322202247896,561.7753304566298,OSCILLATORY
0.0255,1e-06,9,,7.967789859621265e-06,9.432298915893332e-11,10.025382444610804,5.09866212840092,0.00033689322517863794,561.7754063009193,OSCILLATORY
0.0255,0.0004,8,,7.967789839688204e-06,9.43229853136936e-11,10.02538246231557,5.098662129487397,0.00033689322803610525,561.7754252123112,OSCILLATORY
